% time	cellId	IMSI	frame	sframe	RNTI	mcs	size
0.431	1	1	44	2	1	2	137
0.432	1	1	44	3	1	2	137
0.433	1	1	44	4	1	2	137
0.434	1	1	44	5	1	2	137
0.435	1	1	44	6	1	2	137
0.436	1	1	44	7	1	2	137
0.437	1	1	44	8	1	2	137
0.438	1	1	44	9	1	2	137
0.439	1	1	44	10	1	2	137
0.44	1	1	45	1	1	2	137
0.441	1	1	45	2	1	2	137
0.442	1	1	45	3	1	2	137
0.443	1	1	45	4	1	2	137
0.444	1	1	45	5	1	2	137
0.445	1	1	45	6	1	2	137
0.446	1	1	45	7	1	2	137
0.447	1	1	45	8	1	2	137
0.448	1	1	45	9	1	2	137
0.449	1	1	45	10	1	2	137
0.45	1	1	46	1	1	2	137
0.451	1	1	46	2	1	2	137
0.452	1	1	46	3	1	2	137
0.453	1	1	46	4	1	2	137
0.454	1	1	46	5	1	2	137
0.455	1	1	46	6	1	2	137
0.456	1	1	46	7	1	2	137
0.457	1	1	46	8	1	2	137
0.458	1	1	46	9	1	2	137
0.459	1	1	46	10	1	2	137
0.46	1	1	47	1	1	2	137
0.461	1	1	47	2	1	2	137
0.462	1	1	47	3	1	2	137
0.463	1	1	47	4	1	2	137
0.464	1	1	47	5	1	2	137
0.465	1	1	47	6	1	2	137
0.466	1	1	47	7	1	2	137
0.467	1	1	47	8	1	2	137
0.468	1	1	47	9	1	2	137
0.469	1	1	47	10	1	2	137
0.47	1	1	48	1	1	2	137
0.471	1	1	48	2	1	2	137
0.472	1	1	48	3	1	2	137
0.473	1	1	48	4	1	2	137
0.474	1	1	48	5	1	2	137
0.475	1	1	48	6	1	2	137
0.476	1	1	48	7	1	2	137
0.477	1	1	48	8	1	2	137
0.478	1	1	48	9	1	2	137
0.479	1	1	48	10	1	2	137
0.48	1	1	49	1	1	2	137
0.481	1	1	49	2	1	2	137
0.482	1	1	49	3	1	2	137
0.483	1	1	49	4	1	2	137
0.484	1	1	49	5	1	2	137
0.485	1	1	49	6	1	2	137
0.486	1	1	49	7	1	2	137
0.487	1	1	49	8	1	2	137
0.488	1	1	49	9	1	2	137
0.489	1	1	49	10	1	2	137
0.49	1	1	50	1	1	2	137
0.491	1	1	50	2	1	2	137
0.492	1	1	50	3	1	2	137
0.493	1	1	50	4	1	2	137
0.494	1	1	50	5	1	2	137
0.495	1	1	50	6	1	2	137
0.496	1	1	50	7	1	2	137
0.497	1	1	50	8	1	2	137
0.498	1	1	50	9	1	2	137
0.499	1	1	50	10	1	2	137
0.5	1	1	51	1	1	2	137
0.501	1	1	51	2	1	2	137
0.502	1	1	51	3	1	2	137
0.503	1	1	51	4	1	2	137
0.504	1	1	51	5	1	2	137
0.505	1	1	51	6	1	2	137
0.506	1	1	51	7	1	2	137
0.507	1	1	51	8	1	2	137
0.508	1	1	51	9	1	2	137
0.509	1	1	51	10	1	2	137
0.51	1	1	52	1	1	2	137
0.511	1	1	52	2	1	2	137
0.512	1	1	52	3	1	2	137
0.513	1	1	52	4	1	2	137
0.514	1	1	52	5	1	2	137
0.515	1	1	52	6	1	2	137
0.516	1	1	52	7	1	2	137
0.517	1	1	52	8	1	2	137
0.518	1	1	52	9	1	2	137
0.519	1	1	52	10	1	2	137
0.52	1	1	53	1	1	2	137
0.521	1	1	53	2	1	2	137
0.522	1	1	53	3	1	2	137
0.523	1	1	53	4	1	2	137
0.524	1	1	53	5	1	2	137
0.525	1	1	53	6	1	2	137
0.526	1	1	53	7	1	2	137
0.527	1	1	53	8	1	2	137
0.528	1	1	53	9	1	2	137
0.529	1	1	53	10	1	2	137
0.53	1	1	54	1	1	2	137
0.531	1	1	54	2	1	2	137
0.532	1	1	54	3	1	2	137
0.533	1	1	54	4	1	2	137
0.534	1	1	54	5	1	2	137
0.535	1	1	54	6	1	2	137
0.536	1	1	54	7	1	2	137
0.537	1	1	54	8	1	2	137
0.538	1	1	54	9	1	2	137
0.539	1	1	54	10	1	2	137
0.54	1	1	55	1	1	2	137
0.541	1	1	55	2	1	2	137
0.542	1	1	55	3	1	2	137
0.543	1	1	55	4	1	2	137
0.544	1	1	55	5	1	2	137
0.545	1	1	55	6	1	2	137
0.546	1	1	55	7	1	2	137
0.547	1	1	55	8	1	2	137
0.548	1	1	55	9	1	2	137
0.549	1	1	55	10	1	2	137
0.55	1	1	56	1	1	2	137
0.551	1	1	56	2	1	2	137
0.552	1	1	56	3	1	2	137
0.553	1	1	56	4	1	2	137
0.554	1	1	56	5	1	2	137
0.555	1	1	56	6	1	2	137
0.556	1	1	56	7	1	2	137
0.557	1	1	56	8	1	2	137
0.558	1	1	56	9	1	2	137
0.559	1	1	56	10	1	2	137
0.56	1	1	57	1	1	2	137
0.561	1	1	57	2	1	2	137
0.562	1	1	57	3	1	2	137
0.563	1	1	57	4	1	2	137
0.564	1	1	57	5	1	2	137
0.565	1	1	57	6	1	2	137
0.566	1	1	57	7	1	2	137
0.567	1	1	57	8	1	2	137
0.568	1	1	57	9	1	2	137
0.569	1	1	57	10	1	2	137
0.57	1	1	58	1	1	2	137
0.571	1	1	58	2	1	2	137
0.572	1	1	58	3	1	2	137
0.573	1	1	58	4	1	2	137
0.574	1	1	58	5	1	2	137
0.575	1	1	58	6	1	2	137
0.576	1	1	58	7	1	2	137
0.577	1	1	58	8	1	2	137
0.578	1	1	58	9	1	2	137
0.579	1	1	58	10	1	2	137
0.58	1	1	59	1	1	2	137
0.581	1	1	59	2	1	2	137
0.582	1	1	59	3	1	2	137
0.583	1	1	59	4	1	2	137
0.584	1	1	59	5	1	2	137
0.585	1	1	59	6	1	2	137
0.586	1	1	59	7	1	2	137
0.587	1	1	59	8	1	2	137
0.588	1	1	59	9	1	2	137
0.589	1	1	59	10	1	2	137
0.59	1	1	60	1	1	2	137
0.591	1	1	60	2	1	2	137
0.592	1	1	60	3	1	2	137
0.593	1	1	60	4	1	2	137
0.594	1	1	60	5	1	2	137
0.595	1	1	60	6	1	2	137
0.596	1	1	60	7	1	2	137
0.597	1	1	60	8	1	2	137
0.598	1	1	60	9	1	2	137
0.599	1	1	60	10	1	2	137
1.067	1	1	107	8	1	0	85
1.068	1	1	107	9	1	0	85
1.069	1	1	107	10	1	0	85
1.07	1	1	108	1	1	0	85
1.071	1	1	108	2	1	0	85
1.072	1	1	108	3	1	0	85
1.073	1	1	108	4	1	0	85
1.074	1	1	108	5	1	0	85
1.075	1	1	108	6	1	0	85
1.076	1	1	108	7	1	0	85
1.077	1	1	108	8	1	0	85
1.078	1	1	108	9	1	0	85
1.079	1	1	108	10	1	0	85
1.08	1	1	109	1	1	0	85
1.081	1	1	109	2	1	0	85
1.082	1	1	109	3	1	0	85
1.083	1	1	109	4	1	0	85
1.084	1	1	109	5	1	0	85
1.085	1	1	109	6	1	0	85
1.086	1	1	109	7	1	0	85
1.087	1	1	109	8	1	0	85
1.088	1	1	109	9	1	0	85
1.089	1	1	109	10	1	0	85
1.09	1	1	110	1	1	0	85
1.091	1	1	110	2	1	0	85
1.092	1	1	110	3	1	0	85
1.093	1	1	110	4	1	0	85
1.094	1	1	110	5	1	0	85
1.095	1	1	110	6	1	0	85
1.096	1	1	110	7	1	0	85
1.097	1	1	110	8	1	0	85
1.098	1	1	110	9	1	0	85
1.099	1	1	110	10	1	0	85
1.1	1	1	111	1	1	0	85
1.101	1	1	111	2	1	0	85
